physid,round,contribution,average_others,bonus,group_id_in_round,group_individual_share,belief,group_total_cont,loss0_gain1,total_payoff,gender,age,riskpos,riskneg,ua_pos,ua_neg,reci,session,la
746,27,0,7,0,1,18,4,37,0,-307,0,30,5,,5,5,29,1,5
752,1,15,16,0,3,12,10,25,0,-513,0,31,0,0,5,5,55,1,6
752,2,10,15,1,2,11,7,23,0,-513,0,31,0,0,5,5,55,1,6
752,3,15,6,0,3,27,7,55,0,-513,0,31,0,0,5,5,55,1,6
752,4,15,18,0,3,10,15,20,0,-513,0,31,0,0,5,5,55,1,6
752,5,0,18,1,2,2,0,5,0,-513,0,31,0,0,5,5,55,1,6
752,6,0,10,0,2,15,0,30,0,-513,0,31,0,0,5,5,55,1,6
752,7,0,17,1,1,4,5,9,0,-513,0,31,0,0,5,5,55,1,6
752,8,3,16,2,2,7,3,15,0,-513,0,31,0,0,5,5,55,1,6
752,9,15,19,0,3,8,5,17,0,-513,0,31,0,0,5,5,55,1,6
752,10,15,19,2,3,8,2,17,0,-513,0,31,0,0,5,5,55,1,6
752,11,20,17,3,2,13,3,27,0,-513,0,31,0,0,5,5,55,1,6
752,12,20,16,3,3,15,4,30,0,-513,0,31,0,0,5,5,55,1,6
752,13,20,18,0,2,12,5,24,0,-513,0,31,0,0,5,5,55,1,6
752,14,20,14,0,2,18,1,37,0,-513,0,31,0,0,5,5,55,1,6
752,15,20,11,0,2,23,5,46,0,-513,0,31,0,0,5,5,55,1,6
752,16,20,9,2,3,26,10,52,0,-513,0,31,0,0,5,5,55,1,6
752,17,20,19,0,3,11,12,22,0,-513,0,31,0,0,5,5,55,1,6
752,18,20,11,2,3,22,8,45,0,-513,0,31,0,0,5,5,55,1,6
752,19,20,20,0,2,10,10,20,0,-513,0,31,0,0,5,5,55,1,6
752,20,20,16,0,1,15,10,30,0,-513,0,31,0,0,5,5,55,1,6
752,21,20,11,0,1,22,5,45,0,-513,0,31,0,0,5,5,55,1,6
752,22,20,10,2,1,24,9,48,0,-513,0,31,0,0,5,5,55,1,6
752,23,20,13,1,3,20,9,40,0,-513,0,31,0,0,5,5,55,1,6
752,24,20,13,1,2,20,9,40,0,-513,0,31,0,0,5,5,55,1,6
752,25,20,13,1,1,20,9,40,0,-513,0,31,0,0,5,5,55,1,6
752,26,0,10,2,3,15,9,30,0,-513,0,31,0,0,5,5,55,1,6
